Analog Channels
0    	    1    	    2    	    3    
Signal	    Baseline	    Trig data	    Energy
1944	    1944	    1947	    3709
1946	    1946	    1949	    5790
1949	    1946	    1949	    5790
1946	    1946	    1945	    5790
1939	    1946	    1944	    5790
1949	    1946	    1951	    5790
1950	    1946	    1950	    5790
1942	    1946	    1940	    5790
1947	    1946	    1952	    5790
1947	    1946	    1949	    5790
1948	    1946	    1946	    5790
1945	    1946	    1946	    5790
1943	    1946	    1946	    5790
1947	    1946	    1949	    5790
1950	    1946	    1948	    5790
1945	    1946	    1945	    5790
1946	    1946	    1945	    5790
1949	    1946	    1949	    5790
1950	    1946	    1948	    5790
1943	    1946	    1944	    5790
1944	    1946	    1946	    5790
1951	    1946	    1953	    5790
1949	    1946	    1946	    5790
1942	    1946	    1943	    5790
1948	    1946	    1948	    5790
1953	    1946	    1951	    5790
1945	    1946	    1940	    5790
1939	    1946	    1943	    5790
1946	    1946	    1953	    5790
1953	    1946	    1952	    5790
1948	    1946	    1943	    5790
1943	    1946	    1942	    5790
1943	    1946	    1948	    5790
1949	    1946	    1951	    5790
1950	    1946	    1946	    5790
1948	    1946	    1943	    5790
1943	    1946	    1945	    5790
1952	    1946	    1947	    5790
1951	    1946	    1949	    5790
1943	    1946	    1941	    5790
1944	    1946	    1946	    5790
1945	    1946	    1948	    5790
1948	    1946	    1949	    5790
1945	    1946	    1945	    5790
1948	    1946	    1946	    5790
1949	    1946	    1945	    5790
1945	    1946	    1943	    5790
1946	    1946	    1947	    5790
1950	    1946	    1949	    5790
1947	    1946	    1944	    5790
1942	    1946	    1945	    5790
1944	    1946	    1948	    5790
1949	    1946	    1950	    5790
1950	    1946	    1945	    5790
1944	    1946	    1943	    5790
1941	    1946	    1945	    5790
1946	    1946	    1952	    5790
1953	    1946	    1952	    5790
1949	    1946	    1942	    5790
1943	    1946	    1941	    5790
1946	    1946	    1948	    5790
1951	    1946	    1949	    5790
1945	    1946	    1942	    5790
1942	    1946	    1945	    5790
1948	    1946	    1951	    5790
1951	    1946	    1949	    5790
1943	    1946	    1943	    5790
1939	    1946	    1946	    5790
1952	    1946	    1952	    5790
1954	    1946	    1948	    5790
1945	    1946	    1939	    5790
1942	    1946	    1944	    5790
1949	    1946	    1952	    5790
1949	    1946	    1948	    5790
1943	    1946	    1944	    5790
1944	    1946	    1947	    5790
1950	    1946	    1953	    5790
1947	    1946	    1946	    5790
1942	    1946	    1944	    5790
1945	    1946	    1949	    5790
1948	    1946	    1949	    5790
1945	    1946	    1945	    5790
1949	    1946	    1946	    5790
1950	    1946	    1947	    5790
1945	    1946	    1944	    5790
1941	    1946	    1944	    5790
1946	    1946	    1951	    5790
1950	    1946	    1950	    5790
1949	    1946	    1944	    5790
1943	    1946	    1942	    5790
1943	    1946	    1949	    5790
1948	    1946	    1951	    5790
1951	    1946	    1948	    5790
1946	    1946	    1941	    5790
1941	    1946	    1944	    5790
1946	    1946	    1950	    5790
1953	    1946	    1951	    5790
1952	    1946	    1944	    5790
1936	    1946	    1937	    5790
1943	    1946	    1954	    5790
1954	    1946	    1957	    5790
1947	    1946	    1944	    5790
1940	    1946	    1941	    5790
1947	    1946	    1951	    5790
1947	    1946	    1950	    5790
