Analog Channels
0    	    1    	    2    	    3    
Signal	    Baseline	    Trig data	    Energy
1945	    1943	    1949	    3393
1941	    1945	    1940	    5179
1945	    1945	    1948	    5179
1948	    1945	    1948	    5179
1945	    1945	    1944	    5179
1943	    1945	    1944	    5179
1946	    1945	    1947	    5179
1948	    1945	    1946	    5179
1943	    1945	    1945	    5179
1946	    1945	    1946	    5179
1949	    1945	    1948	    5179
1947	    1945	    1944	    5179
1943	    1945	    1943	    5179
1950	    1945	    1949	    5179
1952	    1945	    1946	    5179
1943	    1945	    1940	    5179
1942	    1945	    1943	    5179
1944	    1945	    1951	    5179
1948	    1945	    1947	    5179
1948	    1945	    1945	    5179
1940	    1945	    1943	    5179
1945	    1945	    1948	    5179
1951	    1945	    1953	    5179
1946	    1945	    1944	    5179
1942	    1945	    1941	    5179
1946	    1945	    1951	    5179
1948	    1945	    1949	    5179
1946	    1945	    1944	    5179
1942	    1945	    1943	    5179
1945	    1945	    1949	    5179
1947	    1945	    1948	    5179
1945	    1945	    1946	    5179
1941	    1945	    1945	    5179
1945	    1945	    1949	    5179
1951	    1945	    1949	    5179
1946	    1945	    1943	    5179
1942	    1945	    1942	    5179
1946	    1945	    1949	    5179
1951	    1945	    1948	    5179
1945	    1945	    1942	    5179
1941	    1945	    1943	    5179
1946	    1945	    1949	    5179
1949	    1945	    1948	    5179
1944	    1945	    1942	    5179
1944	    1945	    1945	    5179
1948	    1945	    1949	    5179
1947	    1945	    1945	    5179
1938	    1945	    1943	    5179
1949	    1945	    1949	    5179
1947	    1945	    1945	    5179
1941	    1945	    1940	    5179
1944	    1945	    1947	    5179
1948	    1945	    1950	    5179
1949	    1945	    1945	    5179
1940	    1945	    1942	    5179
1944	    1945	    1949	    5179
1944	    1945	    1949	    5179
1951	    1945	    1949	    5179
1947	    1945	    1942	    5179
1939	    1945	    1940	    5179
1948	    1945	    1950	    5179
1952	    1945	    1951	    5179
1947	    1945	    1939	    5179
1938	    1945	    1941	    5179
1943	    1945	    1951	    5179
1952	    1945	    1953	    5179
1948	    1945	    1942	    5179
1942	    1945	    1940	    5179
1945	    1945	    1949	    5179
1947	    1945	    1949	    5179
1946	    1945	    1944	    5179
1946	    1945	    1946	    5179
1945	    1945	    1945	    5179
1949	    1945	    1947	    5179
1945	    1945	    1945	    5179
1945	    1945	    1944	    5179
1947	    1945	    1947	    5179
1949	    1945	    1946	    5179
1948	    1945	    1945	    5179
1948	    1945	    1943	    5179
1949	    1945	    1943	    5179
1944	    1945	    1942	    5179
1946	    1945	    1944	    5179
1947	    1945	    1946	    5179
1947	    1945	    1945	    5179
1946	    1945	    1942	    5179
1946	    1945	    1945	    5179
1947	    1945	    1946	    5179
1943	    1945	    1944	    5179
1944	    1945	    1947	    5179
1948	    1945	    1947	    5179
1947	    1945	    1945	    5179
1945	    1945	    1943	    5179
1943	    1945	    1946	    5179
1949	    1945	    1948	    5179
1946	    1945	    1946	    5179
1945	    1945	    1944	    5179
1946	    1945	    1947	    5179
1947	    1945	    1947	    5179
1944	    1945	    1945	    5179
1946	    1945	    1946	    5179
1949	    1945	    1947	    5179
1944	    1945	    1942	    5179
1941	    1945	    1944	    5179
1949	    1945	    1951	    5179
1950	    1945	    1947	    5179
1943	    1945	    1941	    5179
1945	    1945	    1944	    5179
1946	    1945	    1948	    5179
1949	    1945	    1947	    5179
1945	    1945	    1945	    5179
1941	    1945	    1944	    5179
1945	    1945	    1949	    5179
1947	    1945	    1949	    5179
1945	    1945	    1945	    5179
1944	    1945	    1945	    5179
1943	    1945	    1947	    5179
1946	    1945	    1947	    5179
1948	    1945	    1947	    5179
1949	    1945	    1947	    5179
1941	    1945	    1941	    5179
1945	    1945	    1947	    5179
1949	    1945	    1949	    5179
1945	    1945	    1944	    5179
1944	    1945	    1945	    5179
1948	    1945	    1949	    5179
1946	    1945	    1944	    5179
1942	    1945	    1944	    5179
1944	    1945	    1947	    5179
1948	    1945	    1949	    5179
1949	    1945	    1945	    5179
1944	    1945	    1943	    5179
1947	    1945	    1946	    5179
1949	    1945	    1948	    5179
1945	    1945	    1943	    5179
1942	    1945	    1946	    5179
1945	    1945	    1948	    5179
1947	    1945	    1951	    5179
1944	    1945	    1943	    5179
1947	    1945	    1948	    5179
1946	    1945	    1947	    5179
1949	    1945	    1947	    5179
1944	    1945	    1944	    5179
1947	    1945	    1947	    5179
1949	    1945	    1946	    5179
1947	    1945	    1944	    5179
1939	    1945	    1943	    5179
1986	    1945	    1950	    5179
2066	    1945	    1958	    5179
2120	    1945	    2016	    5179
2152	    1945	    2093	    5179
2184	    1945	    2147	    5179
2195	    1945	    2177	    5179
2194	    1945	    2184	    5179
2181	    1945	    2189	    5179
2174	    1945	    2188	    5179
2158	    1945	    2186	    5179
2142	    1945	    2170	    5179
2123	    1945	    2143	    5179
2106	    1945	    2129	    5179
2098	    1945	    2120	    5179
2082	    1945	    2105	    5179
2068	    1945	    2087	    5179
2045	    1945	    2069	    5179
2037	    1945	    2060	    5179
2034	    1945	    2046	    5179
2018	    1945	    2027	    5179
2001	    1945	    2013	    5179
2003	    1945	    2017	    5179
2001	    1945	    2012	    5179
1983	    1945	    1989	    5179
1981	    1945	    1990	    5179
1981	    1945	    1989	    5179
1974	    1945	    1977	    5179
1964	    1945	    1974	    5179
1967	    1945	    1976	    5179
1973	    1945	    1972	    5179
1964	    1945	    1962	    5179
1956	    1945	    1959	    5179
1961	    1945	    1965	    5179
1960	    1945	    1961	    5179
1949	    1945	    1952	    5179
1950	    1945	    1955	    5179
1962	    1945	    1963	    5179
1952	    1945	    1947	    5179
1945	    1945	    1946	    5179
1948	    1945	    1954	    5179
1953	    1945	    1955	    5179
1951	    1945	    1948	    5179
1943	    1945	    1944	    3393
1945	    1945	    1949	    3393
1954	    1945	    1954	    3393
1950	    1945	    1942	    3393
1940	    1945	    1941	    3393
1943	    1945	    1950	    3393
1950	    1945	    1956	    3393
1948	    1945	    1948	    3393
1938	    1945	    1943	    3393
1948	    1945	    1949	    3393
1951	    1945	    1953	    3393
1950	    1945	    1945	    3393
1946	    1945	    1944	    3393
1942	    1945	    1948	    3393
1945	    1945	    1950	    3393
1949	    1945	    1948	    3393
1948	    1945	    1946	    3393
1944	    1945	    1943	    3393
1944	    1945	    1946	    3393
1943	    1945	    1946	    3393
1944	    1945	    1946	    3393
1947	    1945	    1947	    3393
1947	    1945	    1944	    3393
1943	    1945	    1941	    3393
1944	    1945	    1945	    3393
1945	    1945	    1946	    3393
1946	    1945	    1944	    3393
1941	    1945	    1942	    3393
1942	    1945	    1944	    3393
1946	    1945	    1948	    3393
1946	    1945	    1946	    3393
1943	    1945	    1941	    3393
1941	    1945	    1944	    3393
1943	    1945	    1947	    3393
1949	    1945	    1947	    3393
1947	    1945	    1945	    3393
1941	    1945	    1944	    3393
1944	    1945	    1946	    3393
1952	    1945	    1947	    3393
1941	    1945	    1942	    3393
1940	    1945	    1943	    3393
1948	    1945	    1949	    3393
1948	    1945	    1945	    3393
1944	    1945	    1943	    3393
1945	    1945	    1947	    3393
1947	    1945	    1948	    3393
1947	    1945	    1946	    3393
1946	    1945	    1944	    3393
1944	    1945	    1945	    3393
1946	    1945	    1945	    3393
1948	    1945	    1945	    3393
1947	    1945	    1941	    3393
1944	    1945	    1942	    3393
1942	    1945	    1948	    3393
1947	    1945	    1950	    3393
1949	    1945	    1946	    3393
1944	    1945	    1942	    3393
1937	    1945	    1944	    3393
1946	    1945	    1949	    3393
1945	    1945	    1946	    3393
1943	    1945	    1942	    3393
1943	    1945	    1943	    3393
1943	    1945	    1945	    3393
1943	    1945	    1944	    3393
1947	    1945	    1943	    3393
1945	    1945	    1942	    3393
1940	    1945	    1941	    3393
1942	    1945	    1944	    3393
1947	    1945	    1945	    3393
1940	    1945	    1942	    3393
1942	    1945	    1942	    3393
1947	    1945	    1950	    3393
1946	    1945	    1944	    3393
1944	    1945	    1942	    3393
1947	    1945	    1947	    3393
1945	    1945	    1943	    3393
1941	    1945	    1943	    3393
1946	    1945	    1946	    3393
1948	    1945	    1945	    3393
1944	    1945	    1941	    3393
1939	    1945	    1942	    3393
1943	    1945	    1947	    3393
1946	    1945	    1947	    3393
1942	    1945	    1941	    3393
1943	    1945	    1942	    3393
1948	    1945	    1946	    3393
1946	    1945	    1941	    3393
1938	    1945	    1936	    3393
1943	    1945	    1945	    3393
1947	    1945	    1945	    3393
1945	    1945	    1940	    3393
1941	    1945	    1939	    3393
1940	    1945	    1943	    3393
1944	    1945	    1946	    3393
1943	    1945	    1943	    3393
1943	    1945	    1942	    3393
1942	    1945	    1943	    3393
1942	    1945	    1945	    3393
1942	    1945	    1943	    3393
1953	    1945	    1944	    3393
1942	    1945	    1941	    3393
1939	    1945	    1941	    3393
1947	    1945	    1954	    3393
1950	    1945	    1948	    3393
1938	    1945	    1939	    3393
1937	    1945	    1943	    3393
1944	    1945	    1952	    3393
1948	    1945	    1947	    3393
1944	    1945	    1940	    3393
1938	    1945	    1939	    3393
1943	    1945	    1946	    3393
1947	    1945	    1947	    3393
1940	    1945	    1940	    3393
1942	    1945	    1944	    3393
1942	    1945	    1945	    3393
1942	    1945	    1943	    3393
1940	    1945	    1943	    3393
1943	    1945	    1946	    3393
1947	    1945	    1944	    3393
1941	    1945	    1940	    3393
1939	    1945	    1941	    3393
1943	    1945	    1948	    3393
1952	    1945	    1943	    3393
1940	    1945	    1937	    3393
1936	    1945	    1940	    3393
